subject,courseNumber,courseTitle,description
BCH,097,RESEARCH TUTORIAL IN BIOCHEMISTRY,"1 Unit, Laboratory, 3 hours. Prerequisite(s): lower-division standing, minimum grade point average of 3.5, approval of undergraduate advisor and consent of instructor. Laboratory tutorial in Biochemistry. To provide biochemistry laboratory experience for exceptional lower-division students. A written report is required at the end of each quarter. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 3 units."
BCH,100,INTRODUCTORY BIOCHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BIOL 005A with a grade of C- or better; CHEM 08HB with a grade of C- or better or CHEM 008B with a grade of C- or better; CHEM 08LB with a grade of C- or better or CHEM 08HLB with a grade of C- or better. Introduction to the biochemistry of living organisms based on a study of the structure, function, and metabolism of small molecules and macromolecules of biological significance. Examines selected animals, plants, and microorganisms to develop a general understanding of structure-function relationships, enzyme action, regulation, bioenergetics, and intermediary metabolism. Credit is awarded for one of the following BCH 100 or BCH 100H. Credit is not awarded for BCH 100 if a grade of ""C-"" or higher has been awarded previously in BCH 110A or BCH 110HA or BCH 110B or BCH 110HB or BCH 110C or BCH 110HC."
BCH,110A,GENERAL BIOCHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BIOL 005A with a grade of ""C-"" or better; CHEM 008C and CHEM 08LC or CHEM 08HC and CHEM 08HLC with grades of ""C-"" or better. Considers the structure and function of biological molecules including proteins, carbohydrates, lipids, and nucleic acids. Credit is awarded for only one of BCH 110A or BCH 110HA."
BCH,110B,GENERAL BIOCHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BCH 110A or BCH 110HA with a grade of ""C-"" or better or consent of instructor Consideration of metabolic pathways including mechanisms and regulation of catabolism, anabolism, and bioenergetics in living organisms. Credit is awarded for only one of BCH 110B or BCH 110HB."
BCH,110C,GENERAL BIOCHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BCH 110A or BCH 110HA with a grade of ""C-"" or better, BIOL 102 or consent of instructor. BCH 110B or BCH 110HB is highly recommended. Considers regulation of gene expression, protein synthesis, chromatin structure, genome replication, recombination, and repair. Examines both prokaryotic and eukaryotic systems, including recombinant DNA technology, protein engineering, and applications to molecular medicine. Credit is not awarded for BCH 110C if it has already been awarded for BCH 110HC or BIOL 107A."
BCH,110HB,HONORS GENERAL BIOCHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BCH 110A with a grade of C- or better or BCH 110HA with a grade of C- or better;  admission to the University Honors Program. Honors course corresponding to BCH 110B.  Consideration of metabolic pathways including mechanisms and regulation of catabolism, anabolism, and bioenergetics in living organisms.  Satisfactory(S) or No Credit(N/C) is not available.   Credit is awarded for one of the following BCH 110HB or BCH 110B."
BCH,162,ADVANCED BIOCHEMISTRY LABORATORY,"5 Units, Lecture, 2 hours; laboratory, 9 hours. Prerequisite(s): BCH 015;  BCH 110B or BCH 110HB; BCH 110C or BCH 110HC all with grades of ""C-"" or better, or consent of instructor. Advanced biochemistry laboratory techniques including modern methods of protein engineering, purification, and characterization, enzyme assays, principles of various types of column chromatography, SDS gel and other methods of electrophoresis, centrifugation, and crystallization.  Most experiments include quantitative reasoning through data manipulation, numerical simulations, parametric evaluation, and detailed laboratory reports. Satisfactory (S) or No Credit (NC) grading is not available."
BCH,180R,EPIGENETICS,"2 Units, Lecture, 1 hour; seminar, 1 hour. Prerequisite(s): BCH 197, may be taken concurrently or BCH 110C or BCH 110HC or BIOL 107A with a grade of C- or better;  restricted to class level standing of junior, or  senior;  or consent of instructor. An introduction and discussion of the experimental approaches and modern techniques in the study of cell growth regulation, signal transduction, and cell death in cancer. E.   Gene Regulation;  F.   Chromatin Research;  G.   Cell Signaling;  I.   Structural Biology;  J.   Biophysical Chemistry;  K.   Cryoelectron Microscopy;  M.   Biological Structure/function;  N.   Genome Stability;  O.   Genomics And Proteomics;  P.   Regulation Of Protein Synthesis;  Q.   Stem Cell Biology;  R.   Epigenetics;  S.   Molecular Biology Of Genetic Diseases;  T.   Biochemistry Of Development And Aging;  U.   Biochemistry Of Stress Responses.   Course is repeatable as content or topic changes to a maximum of 6 units."
BCH,184,TOPICS IN PHYSICAL BIOCHEMISTRY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BCH 100 with a grade of ""C-"" or better or BCH 110A or BCH 110HA with a grade of ""C-"" or better; BIEN 135 with grade of ""C-"" or better, or CHEM 109 with grade of ""C-"" or better or CHEM 110A with grade of ""C-"" or better; or consent of instructor. Explores modern biophysical methods determining the structures of biological macromolecules and relating structure to function. Covers x-ray crystallography, NMR, and cryoelectron microscopy. Addresses imaging and mass spectrometry for determining structure and ultraviolet, visible, infrared, RAMAN, fluorescence, NMR, EPR, and other forms of spectroscopy for relating macromolecular structure to function."
BCH,188,FUNDAMENTALS OF GENOMICS TECHNOLOGIES,"3 Units, Lecture, 3 hours. Prerequisite(s): BCH 110C with a grade of C- or better or BCH 110HC with a grade of B- or better or BIOL 107A with a grade of C- or better; or equivalent. A systematic overview of leading and emerging genomics technologies. Emphasizes the biochemical and molecular methods behind different genomic technologies and various applications in areas such as functional genomics, developmental biology, metagenomics, and clinical diagnostics. Course appropriate for biochemistry or other biological sciences majors."
BCH,190,SPECIAL STUDIES,"2 to 4 Units, Individual Study, 6 to 16 hours. Prerequisite(s): upper-division standing and consent of instructor. Literature review and tutorial in select modern biochemical topics. Course is repeatable."
BCH,197,RESEARCH FOR UNDERGRADUATE STUDENTS,"1 to 4 Units, Prerequisite(s): junior status and consent of the instructor. Directed research and preparation of written report. Course is repeatable."
BCH,209,RIBONUCLEIC ACID BIOLOGY,"3 Units, Lecture, 2 hours; discussion, 1 hour. Prerequisite(s): BIOL 107A or CBNS 101 or equivalent; graduate standing; or consent of instructor. A comprehensive overview of the multiple functions of ribonucleic acid (RNA) in the cell. Topics include mRNA, rRNA, and tRNA function and metabolism; RNA catalysis and the ""RNA world""; eukaryotic and bacterial non-coding RNAs; and bacterial riboswitches. May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor. Cross-listed with CMDB 209, and GEN 209."
BCH,211,MOLECULAR BIOLOGY,"3 Units, Lecture, 3 hours. Prerequisite(s): BCH 110A, BCH 110B, BCH 110C or equivalents; graduate standing or consent of instructor Advanced topics in molecular biology of the biosynthesis and regulation of DNA, RNA, and proteins. Some topics covered include the following: molecular anatomy of genes and chromosomes; DNA repair and recombination; regulation of genes in the cell cycle; telomerase; RNA processing and splicing; RNA editing; regulation of normal genes and oncogenes; chaperones and protein targeting."
BCH,230P,EMERGING TOPICS IN BCH &amp; MCBL,"2 Units, Lecture, 1 hour; discussion, 1 hour. Prerequisite(s): BCH 100 or BCH 100H or BCH 110A, BCH 110B or BCH 110HA, BCH 110HB;  graduate standing. Addresses advances in a particular field of biochemistry by analysis of the recent literature.  E.   Structure Of Biological Molecules;  F.   Enzyme Catalysis;  G.   Glycobiochemistry;  H.   Membrane Biochemistry;  I.   Cytoskeleton And Extracellular Matrix;  J.   Metabolism;  K.   Regulation Of Chromatin Structure And Transcription;  M.   Genome Stability;  N.   Regulation Of Protein Synthesis;  O.   Signal Transduction;  P.   Emerging Topics In Biochemistry And Molecular Biology;  Q.   Cell Cycle Regulation;  R.   Biochemistry Of Stress Responses;  S.   Biochemistry Of Development And Aging;  T.   Molecular Basis Of Genetic Diseases;  U.   Genomics And Proteomics;  W.   Stem Cell Biology.   Course is repeatable."
BCH,231,THE PLANT GENOME,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BCH 100, BIOL 107A; or BCH 110A or BCH 110HA, BCH 110B or BCH 110HB, BCH 110C or BCH 110HC; graduate standing; or consent of instructor. Gives students an appreciation for the structure of the plant nuclear, chloroplast, and mitochondrial genomes. Gene structure, regulation of gene expression, transposons, and methods of gene introduction are also emphasized. Cross-listed with BPSC 231."
BCH,240,OPTICAL INSTRUMENTAL METHODS,"2 Units, Lecture, 2 hours. Prerequisite(s):  restricted to major(s) Biochemistry;  graduate standing;  or consent of instructor. Provides oral presentations and intensive small-group discussion of selected topics in the area of specialization of each faculty member.  Emphasizes recent advances in the special topic area and varies accordingly.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 56 units."
